"filename", "language", "JSON", "Markdown", "TypeScript", "SCSS", "XML", "TypeScript React", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"/Users/adee/Desktop/crib-chat/src/index.scss", "SCSS", 0, 0, 0, 96, 0, 0, 0, 0, 0, 14, 35, 145
"/Users/adee/Desktop/crib-chat/src/index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 3, 22
"/Users/adee/Desktop/crib-chat/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/adee/Desktop/crib-chat/src/reducers/sidebarReducer.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/adee/Desktop/crib-chat/src/reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/adee/Desktop/crib-chat/src/routes/ChatRoom/ChatRoom.scss", "SCSS", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"/Users/adee/Desktop/crib-chat/src/routes/ChatRoom/ChatRoom.tsx", "TypeScript React", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"/Users/adee/Desktop/crib-chat/src/routes/Home/Home.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/adee/Desktop/crib-chat/src/routes/Home/Home.tsx", "TypeScript React", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"/Users/adee/Desktop/crib-chat/src/routes/Profile/Profile.scss", "SCSS", 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 25, 169
"/Users/adee/Desktop/crib-chat/src/routes/Profile/Profile.tsx", "TypeScript React", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 7, 117
"/Users/adee/Desktop/crib-chat/src/store.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/adee/Desktop/crib-chat/src/stories/Button.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 30, 0, 0, 0, 1, 8, 39
"/Users/adee/Desktop/crib-chat/src/stories/Button.tsx", "TypeScript React", 0, 0, 0, 0, 0, 28, 0, 0, 0, 18, 3, 49
"/Users/adee/Desktop/crib-chat/src/stories/Header.stories.tsx", "TypeScript React", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 6, 21
"/Users/adee/Desktop/crib-chat/src/stories/Header.tsx", "TypeScript React", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 4, 48
"/Users/adee/Desktop/crib-chat/src/stories/button.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 1, 31
"/Users/adee/Desktop/crib-chat/src/stories/header.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 4, 27
"/Users/adee/Desktop/crib-chat/tsconfig.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 115, 38, 35, 638, 608, 794, 57, 118, 53, 64, 391, 2911
